cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density
5.760457831325302,50.92503212851405,4.054808718837542,0,4264,695
5.782176706827309,50.92503212851405,4.044474260367709,0,5533,770
5.803895582329318,50.92503212851405,4.028624814931784,0,6876,770
5.825614457831326,50.92503212851405,4.007491783451808,0,8258,770
5.847333333333333,50.92503212851405,3.981409790043544,0,9683,458
5.869052208835342,50.92503212851405,3.950801124752012,0,11136,458
5.89077108433735,50.92503212851405,3.916156165637236,0,11376,458
5.912489959839357,50.92503212851405,3.8780116841065073,0,10437,1948
5.934208835341366,50.92503212851405,3.8369289282718912,0,9576,1948
5.955927710843374,50.92503212851405,3.7934731260594807,0,8817,1948
5.977646586345382,50.92503212851405,3.748195635582793,0,8241,1948
5.99936546184739,50.92503212851405,3.7016194906185182,1,7903,1948
5.760457831325302,50.94177510040161,4.036897584331915,0,3314,1183
5.782176706827309,50.94177510040161,4.026079933450654,0,4751,1183
5.803895582329318,50.94177510040161,4.009921155056063,0,6230,770
5.825614457831326,50.94177510040161,3.988648583639585,0,7728,770
5.847333333333333,50.94177510040161,3.962588343771269,0,9235,770
5.869052208835342,50.94177510040161,3.932150497965353,1,10747,458
5.89077108433735,50.94177510040161,3.8978103467046887,0,10366,458
5.912489959839357,50.94177510040161,3.860087695932963,0,9175,458
5.934208835341366,50.94177510040161,3.8195258992640335,0,8096,1611
5.955927710843374,50.94177510040161,3.776672241488551,0,7182,1611
5.977646586345382,50.94177510040161,3.7320608355480447,0,6495,1611
5.782176706827309,50.95851807228916,4.00389038063787,0,4587,1183
5.803895582329318,50.95851807228916,3.987440982567531,0,6106,1179
5.825614457831326,50.95851807228916,3.9660779170549847,0,7627,1179
5.847333333333333,50.95851807228916,3.940116261598847,0,9150,458
5.869052208835342,50.95851807228916,3.909950528563716,0,10674,458
5.89077108433735,50.95851807228916,3.8760370806478983,0,9392,458
5.912489959839357,50.95851807228916,3.8388746135276937,0,8059,458
5.934208835341366,50.95851807228916,3.7989843993571584,0,6807,458
5.955927710843374,50.95851807228916,3.756891761668163,0,5690,458
5.977646586345382,50.95851807228916,3.713109884864421,0,4803,1611
5.738738955823294,50.97526104417671,3.996815809491381,0,2821,1183
5.760457831325302,50.97526104417671,3.99001061427091,0,3857,1183
5.782176706827309,50.97526104417671,3.978186042338512,0,5143,1183
5.803895582329318,50.97526104417671,3.9614614071935272,0,6533,1179
5.825614457831326,50.97526104417671,3.9400512890718127,0,7973,1179
5.847333333333333,50.97526104417671,3.914257364198628,0,9440,1179
5.869052208835342,50.97526104417671,3.884455530560449,0,10190,1179
5.934208835341366,50.97526104417671,3.77552243179977,0,5836,458
5.760457831325302,50.99200401606426,3.961653670453088,0,4353,1183
5.782176706827309,50.99200401606426,3.9493034172916346,0,5639,1183
5.803895582329318,50.99200401606426,3.93231490754956,0,7022,1179
5.825614457831326,50.99200401606426,3.9108942947676417,0,8453,1179
5.847333333333333,50.99200401606426,3.8853277533166137,0,9913,1179
5.869052208835342,50.99200401606426,3.855969839691036,0,9095,1179
5.782176706827309,51.00874698795181,3.917627946312684,0,5039,1179
5.803895582329318,51.00874698795181,3.900382369663464,0,6549,1179
5.825614457831326,51.00874698795181,3.8789798944787712,0,8065,1179
5.847333333333333,51.00874698795181,3.8536893962176073,0,9478,1179
5.782176706827309,51.02548995983936,3.883585483409943,0,5092,1179
5.803895582329318,51.02548995983936,3.866084739360893,0,6589,1179
5.825614457831326,51.02548995983936,3.84472034652032,0,8097,1179
5.847333333333333,51.02548995983936,3.8197424256061896,0,8921,1179
5.782176706827309,51.04223293172691,3.8476327140652726,0,5497,1179
5.803895582329318,51.04223293172691,3.829873639478545,0,7015,1179
5.825614457831326,51.04223293172691,3.808558133946312,0,8534,1179
5.847333333333333,51.04223293172691,3.783916473359864,0,8733,1179
5.912489959839357,51.04223293172691,3.693002371179571,0,4164,0
5.934208835341366,51.04223293172691,3.658175243589723,0,2640,311
5.782176706827309,51.05897590361446,3.8102469061352,0,5628,1179
5.803895582329318,51.05897590361446,3.7922213284181376,0,7117,1179
5.825614457831326,51.05897590361446,3.770956247600676,0,8618,311
5.847333333333333,51.05897590361446,3.746661381492888,0,8938,311
5.869052208835342,51.05897590361446,3.719587350943399,0,7458,311
5.89077108433735,51.05897590361446,3.690018295073017,0,5998,311
5.912489959839357,51.05897590361446,3.658263388847319,0,4525,0
5.934208835341366,51.05897590361446,3.624647901400092,0,3048,311
5.955927710843374,51.05897590361446,3.589504383442871,0,1603,311
5.825614457831326,51.075718875502005,3.7323881918160993,0,9091,311
5.847333333333333,51.075718875502005,3.708437638834583,0,9416,311
5.869052208835342,51.075718875502005,3.681981149462387,0,7970,311
5.89077108433735,51.075718875502005,3.653269332796507,0,6533,311
5.912489959839357,51.075718875502005,3.6225746125900016,0,5145,311
5.934208835341366,51.075718875502005,3.590184360246773,0,3860,311
5.955927710843374,51.075718875502005,3.556393946751311,0,2822,311
5.977646586345382,51.075718875502005,3.5215000765528384,0,2379,311
5.825614457831326,51.09246184738956,3.693328066105051,0,9735,311
5.847333333333333,51.09246184738956,3.669706880611936,0,10065,311
5.869052208835342,51.09246184738956,3.6438542282534,0,8708,311
5.89077108433735,51.09246184738956,3.615987338542711,0,7416,311
5.912489959839357,51.09246184738956,3.586342058848149,0,6229,311
5.934208835341366,51.09246184738956,3.5551680383453905,0,5218,311
